source_treatmentid,source_treatment_event_key,restoration_type,treatment_category,treatment_type,amount_raw,amount,units
11_1,11_1::event_01,seeding,application method,drill,applied,,treatment presence
11_1,11_1::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_2,11_2::event_01,seeding,application method,drill,applied,,treatment presence
11_2,11_2::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_3,11_3::event_01,seeding,application method,drill,applied,,treatment presence
11_3,11_3::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_4,11_4::event_01,seeding,application method,drill,applied,,treatment presence
11_4,11_4::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_5,11_5::event_01,seeding,application method,drill,applied,,treatment presence
11_5,11_5::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_6,11_6::event_01,seeding,application method,drill,applied,,treatment presence
11_6,11_6::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_7,11_7::event_01,seeding,application method,drill,applied,,treatment presence
11_7,11_7::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_8,11_8::event_01,seeding,application method,drill,applied,,treatment presence
11_8,11_8::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_9,11_9::event_01,seeding,application method,drill,applied,,treatment presence
11_9,11_9::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_10,11_10::event_01,seeding,application method,drill,applied,,treatment presence
11_10,11_10::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_11,11_11::event_01,seeding,application method,drill,applied,,treatment presence
11_11,11_11::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_12,11_12::event_01,seeding,application method,drill,applied,,treatment presence
11_12,11_12::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_13,11_13::event_01,seeding,application method,drill,applied,,treatment presence
11_13,11_13::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_14,11_14::event_01,seeding,application method,drill,applied,,treatment presence
11_14,11_14::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_15,11_15::event_01,seeding,application method,drill,applied,,treatment presence
11_15,11_15::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_16,11_16::event_01,seeding,application method,drill,applied,,treatment presence
11_16,11_16::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_17,11_17::event_01,seeding,application method,drill,applied,,treatment presence
11_17,11_17::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_18,11_18::event_01,seeding,application method,drill,applied,,treatment presence
11_18,11_18::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_19,11_19::event_01,seeding,application method,drill,applied,,treatment presence
11_19,11_19::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_20,11_20::event_01,seeding,application method,drill,applied,,treatment presence
11_20,11_20::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_21,11_21::event_01,seeding,application method,drill,applied,,treatment presence
11_21,11_21::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_22,11_22::event_01,seeding,application method,drill,applied,,treatment presence
11_22,11_22::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_23,11_23::event_01,seeding,application method,drill,applied,,treatment presence
11_23,11_23::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_24,11_24::event_01,seeding,application method,drill,applied,,treatment presence
11_24,11_24::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_26,11_26::event_01,seeding,application method,drill,applied,,treatment presence
11_27,11_27::event_01,seeding,application method,drill,applied,,treatment presence
11_28,11_28::event_01,seeding,application method,drill,applied,,treatment presence
11_29,11_29::event_01,seeding,application method,drill,applied,,treatment presence
11_30,11_30::event_01,seeding,application method,drill,applied,,treatment presence
11_31,11_31::event_01,seeding,application method,drill,applied,,treatment presence
11_32,11_32::event_01,seeding,application method,drill,applied,,treatment presence
11_33,11_33::event_01,seeding,application method,drill,applied,,treatment presence
11_34,11_34::event_01,seeding,application method,drill,applied,,treatment presence
11_35,11_35::event_01,seeding,application method,drill,applied,,treatment presence
11_36,11_36::event_01,seeding,application method,drill,applied,,treatment presence
11_37,11_37::event_01,seeding,application method,drill,applied,,treatment presence
11_38,11_38::event_01,seeding,application method,drill,applied,,treatment presence
11_39,11_39::event_01,seeding,application method,drill,applied,,treatment presence
11_40,11_40::event_01,seeding,application method,drill,applied,,treatment presence
11_41,11_41::event_01,seeding,application method,drill,applied,,treatment presence
11_42,11_42::event_01,seeding,application method,drill,applied,,treatment presence
11_43,11_43::event_01,seeding,application method,drill,applied,,treatment presence
11_44,11_44::event_01,seeding,application method,drill,applied,,treatment presence
11_45,11_45::event_01,seeding,application method,drill,applied,,treatment presence
11_46,11_46::event_01,seeding,application method,drill,applied,,treatment presence
11_47,11_47::event_01,seeding,application method,drill,applied,,treatment presence
11_48,11_48::event_01,seeding,application method,drill,applied,,treatment presence
11_49,11_49::event_01,seeding,application method,drill,applied,,treatment presence
11_51,11_51::event_01,seeding,application method,drill,applied,,treatment presence
11_51,11_51::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_52,11_52::event_01,seeding,application method,drill,applied,,treatment presence
11_52,11_52::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_53,11_53::event_01,seeding,application method,drill,applied,,treatment presence
11_53,11_53::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_54,11_54::event_01,seeding,application method,drill,applied,,treatment presence
11_54,11_54::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_55,11_55::event_01,seeding,application method,drill,applied,,treatment presence
11_55,11_55::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_56,11_56::event_01,seeding,application method,drill,applied,,treatment presence
11_56,11_56::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_57,11_57::event_01,seeding,application method,drill,applied,,treatment presence
11_57,11_57::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_58,11_58::event_01,seeding,application method,drill,applied,,treatment presence
11_58,11_58::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_59,11_59::event_01,seeding,application method,drill,applied,,treatment presence
11_59,11_59::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_60,11_60::event_01,seeding,application method,drill,applied,,treatment presence
11_60,11_60::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_61,11_61::event_01,seeding,application method,drill,applied,,treatment presence
11_61,11_61::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_62,11_62::event_01,seeding,application method,drill,applied,,treatment presence
11_62,11_62::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_63,11_63::event_01,seeding,application method,drill,applied,,treatment presence
11_63,11_63::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_64,11_64::event_01,seeding,application method,drill,applied,,treatment presence
11_64,11_64::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_65,11_65::event_01,seeding,application method,drill,applied,,treatment presence
11_65,11_65::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_66,11_66::event_01,seeding,application method,drill,applied,,treatment presence
11_66,11_66::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_67,11_67::event_01,seeding,application method,drill,applied,,treatment presence
11_67,11_67::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_68,11_68::event_01,seeding,application method,drill,applied,,treatment presence
11_68,11_68::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_69,11_69::event_01,seeding,application method,drill,applied,,treatment presence
11_69,11_69::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_70,11_70::event_01,seeding,application method,drill,applied,,treatment presence
11_70,11_70::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_71,11_71::event_01,seeding,application method,drill,applied,,treatment presence
11_71,11_71::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_72,11_72::event_01,seeding,application method,drill,applied,,treatment presence
11_72,11_72::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_73,11_73::event_01,seeding,application method,drill,applied,,treatment presence
11_73,11_73::event_02,seeding,grazer manipulation,added,applied,,treatment presence
11_74,11_74::event_01,seeding,application method,drill,applied,,treatment presence
11_74,11_74::event_02,seeding,grazer manipulation,added,applied,,treatment presence
